id,source,country,rating,date,codes,text
14405402827,apple,us,1,2026-08-08,PRICE_SURPRISE,TERRIBLE — This app SUCKS! At NO point was I made aware that I was subscribing to their payment plan. I was unexpectedly charged $130!!!!!! Which is A LOT OF MONEY! I tried ti dispute the charge and was DENIED! This app didn’t even help in the slightest then scammed me out of my money I am very upset and will NEVER use the app and will never use again!
14405326070,apple,us,5,2026-08-08,,"Best app! — Reframe is the best app for quitting drinking or cutting back. I would even say it is one of the most useful, positively impactful apps out there generally. It is well worth it!"
14403169627,apple,us,5,2026-08-08,,Really helps — This app has really helped me quit and live up to who I want to be. I probably only use about 20% of what they have and I love everything about it. I would highly recommend to anyone wanting to make a change in their life.
14397504682,apple,us,1,2026-08-06,SIGNUP_BREAK|TONE|TRUST,Horrible app! — This is the most disappointing so ever. People like me come here for help and we get glitch after glitch. You should be ashamed of yourselves. Whoever owns this company and is raking in the hundreds of thousands of dollars can't even offer an app that works. I'm so disappointed and dad. This was my last hope.
14394691970,apple,us,5,2026-08-06,,lifesaver — it’s really helping me to finally make some headway
14390962877,apple,us,5,2026-08-05,,Guiding Hand — Reframe has helped me become more conscious of my drinking habits through thoughtful and informative lessons along with an opportunity to self reflect through the journals.  I have learned about alcohol and its effects and to become more self aware of my drinking habits. Thank you reframe
14388708557,apple,us,1,2026-08-04,,Rips you off if you cancel through Apple — Love this. Canceled my subscription over a year ago. Got a random charge for 60$ today! Didn’t even have it downloaded. Watch out for the “third party developer” trick as they just take your money.
14381048896,apple,us,5,2026-08-02,,So good! — I knew I needed to slow down but didn’t want to stop. This has given me the ability to chart my course for controlling my alcohol intake.
14379197239,apple,us,1,2026-08-02,EMOTIONAL_FIT_NEG,Fancy drink tracker — The initial articles are good but then they focus on creativity and other things that I find not helpful and actually triggered some issues for me which led to more drinks!
14376614102,apple,us,2,2026-08-01,,Could be much better — They don’t provide a way to track your actual drinking for a period of time before starting. And then they ask you to track “by drink” which is arbitrary. It would be better to track by type of drink and ounces and then reduce by a percentage. Instead they ask you to reduce my whole drinks which are more than a 10% reduction and not sustainable. Had high hopes for this but it asks for too much of a reduction at the start instead of really helping you track realistically and reduce slowly.
14374243802,apple,us,2,2026-08-01,EMOTIONAL_FIT_NEG|PRICE_SURPRISE,Charged after canceling free trial — I tried this app for 3 days and it was a good app just not for me. I deleted my account and the app prior to the end of the free trial but reframe still charged me $99.99. I emailed to get a refund bc this app doesn’t show up in my subscriptions and was cancelled on my end but they are not responding to my email. I now have to go through my bank to dispute. I would be cautious when doing this trial.
14364393118,apple,us,1,2026-07-29,,Coffee — Reviews are all paid  for… app is trash
14361821501,apple,us,4,2026-07-29,,"Helpful Support and Insight — i’ve been using Reframe for about a month now and so far it has helped me feel supported in my journey to change my relationship with alcohol. I’ve experienced my nights out at bars and restaurants, and Reframe helped keep me grounded during these times. It might be too soon to tell but so far I am enjoying the app and have purchased an annual membership for a year."
14360865839,apple,us,5,2026-07-28,,Reframe works — I think Reframe is geared towards someone like me who wants something intuitive to what I’m going through and provides short education pieces to keep people engaged and motivated to stop drinking because you have knowledge and tools to do so
14358490431,apple,us,1,2026-07-28,LENGTH|PAYWALL_TIMING|VALUE_UNCLEAR,Wastes your time with a million questions before revealing the subscription paywall — What ever happened to a flat fee purchase? What services are you actually providing that would require a subscription?
14357086769,apple,us,1,2026-07-27,PRICE_SURPRISE,Thieves — Billed me for a year subscription when I didn’t even sign up for it. I think my bank account caught it. Shady for them to even do that in the first place.
14355737068,apple,us,1,2026-07-27,PRICE_SURPRISE,Worst ever — They charged me the yearly fee not monthly like I signed up for. Not happy with the app and wanted to quit but they don’t give you your money back or any option to do so.
